flight_id,t,x,y,z
9,968395,0.07776125,0.000354254,0.055447401
9,968400,0.077214302,0.001783948,0.053678559
9,968405,0.076575122,0.003315915,0.051742621
9,968410,0.075905565,0.004839431,0.048814845
9,968415,0.075265656,0.006414865,0.047198788
9,968420,0.074655064,0.007975231,0.045235373
9,968425,0.073951569,0.009672597,0.041549942
9,968430,0.073404045,0.010985902,0.040075705
9,968435,0.072716146,0.012594577,0.037945246
9,968440,0.072092226,0.014157131,0.036162044
9,968445,0.071411152,0.015773575,0.034393305
9,968450,0.070825561,0.017300321,0.030984259
9,968455,0.070195243,0.018855337,0.030021657
9,968460,0.069540676,0.020435605,0.027577599
9,968465,0.068907195,0.021986876,0.025529074
9,968470,0.06824159,0.023532116,0.022879754
9,968475,0.067616673,0.025088725,0.02181217
9,968480,0.066992533,0.02661066,0.020021113
9,968485,0.066361644,0.028133644,0.016375522
9,968490,0.065714574,0.029704503,0.014153155
9,968495,0.065067753,0.031266728,0.012911011
9,968500,0.064470684,0.032726478,0.01274063
9,968505,0.063896761,0.034137422,0.012698211
9,968510,0.063339325,0.035491893,0.009749633
9,968515,0.062851191,0.036438025,0.012605006
9,968520,0.062396086,0.037524302,0.012566927
9,968525,0.062047801,0.038369808,0.012823427
9,968529,0.061910055,0.038889999,0.012911762
9,968534,0.062476124,0.03786957,0.012375593
9,968539,0.062197342,0.0384668,0.01261757
9,968544,0.062805944,0.038493987,0.012531478
9,968549,0.062866924,0.03885722,0.01270672
9,968554,0.062922095,0.039169369,0.012522611
9,968559,0.062974114,0.039469002,0.012711514
11,1138957,-0.13575917,-0.395172382,0.489500182
11,1138962,-0.136289939,-0.391136639,0.489592367
11,1138966,-0.136513159,-0.38711073,0.485651055
11,1138972,-0.133922984,-0.382929633,0.48258858
11,1138977,-0.132103263,-0.379241903,0.477785114
11,1138982,-0.130335029,-0.376679813,0.47171787
11,1138987,-0.128408413,-0.373481558,0.467521348
11,1138991,-0.126601183,-0.369849357,0.464101541
11,1138997,-0.124741173,-0.366361964,0.456842457
11,1139002,-0.123172909,-0.362744037,0.453412809
11,1139006,-0.121769442,-0.359340313,0.446273678
11,1139012,-0.120282284,-0.355718741,0.442376001
11,1139016,-0.118814005,-0.352401279,0.438830963
11,1139022,-0.117455608,-0.348777744,0.435497688
11,1139026,-0.115955522,-0.345204584,0.431807482
11,1139031,-0.114714922,-0.341709531,0.427965777
11,1139036,-0.113106785,-0.338297644,0.427931909
11,1139041,-0.111792412,-0.334958917,0.427088723
11,1139047,-0.11036576,-0.331713623,0.428239385
11,1139051,-0.109063435,-0.328349104,0.426985521
11,1139056,-0.107645936,-0.32484209,0.427849129
11,1139061,-0.106061054,-0.321668584,0.428006204
11,1139066,-0.104571747,-0.31825752,0.427905069
11,1139071,-0.103140363,-0.315057034,0.428092848
11,1139076,-0.101729867,-0.311720076,0.428051498
11,1139081,-0.100140951,-0.308077824,0.428222455
11,1139086,-0.098488754,-0.304205922,0.42803262
11,1139091,-0.097178586,-0.301401884,0.427438735
11,1139096,-0.095721889,-0.298025648,0.427981715
11,1139101,-0.094256047,-0.294545184,0.427980759
11,1139106,-0.092652243,-0.291052294,0.427829628
11,1139111,-0.091247719,-0.287661378,0.42819815
11,1139116,-0.08946127,-0.284099991,0.427778456
11,1139121,-0.087806718,-0.2805579,0.427932605
11,1139126,-0.086352212,-0.277208005,0.428077376
11,1139131,-0.084732657,-0.27384105,0.42786278
11,1139136,-0.083098567,-0.270377054,0.42797072
11,1139141,-0.081780883,-0.267030284,0.427940209
11,1139146,-0.080400214,-0.263494548,0.427750284
11,1139151,-0.078808162,-0.260129195,0.428145537
11,1139156,-0.077386299,-0.256756069,0.42781245
11,1139161,-0.076030273,-0.253450612,0.427868078
11,1139166,-0.074482206,-0.249940508,0.428044132
11,1139171,-0.072946908,-0.246387435,0.428101937
11,1139176,-0.071468519,-0.242855966,0.427896665
11,1139181,-0.069761512,-0.238903432,0.427844946
11,1139186,-0.068396067,-0.23599,0.427851867
